case,Times,sun_x,sun_y,sun_z,planet_x,planet_y,planet_z,radius,CHAMBER.T1,CHAMBER.T2,CHAMBER.T3,CHAMBER.T4,CHAMBER.T5,CHAMBER.T6,CHAMBER.T7,CHAMBER.T8,CHAMBER.T9,CHAMBER.T100,CHAMBER.T101,CHAMBER.T102,CHAMBER.T103,CHAMBER.T104,CHAMBER.T105,CHAMBER.T200,CHAMBER.T201,CHAMBER.T202,CHAMBER.T203,CHAMBER.T204,CHAMBER.T205,PANEL_MX.T1,PANEL_MX.T2,PANEL_MX.T3,PANEL_MX.T4,PANEL_MX.T5,PANEL_MX.T6,PANEL_MX.T7,PANEL_MX.T8,PANEL_MX.T9,PANEL_MY.T1,PANEL_MY.T2,PANEL_MY.T3,PANEL_MY.T4,PANEL_MY.T5,PANEL_MY.T6,PANEL_MY.T7,PANEL_MY.T8,PANEL_MY.T9,PANEL_MZ.T1,PANEL_MZ.T2,PANEL_MZ.T3,PANEL_MZ.T4,PANEL_MZ.T5,PANEL_MZ.T6,PANEL_MZ.T7,PANEL_MZ.T8,PANEL_MZ.T9,PANEL_PX.T1,PANEL_PX.T2,PANEL_PX.T3,PANEL_PX.T4,PANEL_PX.T5,PANEL_PX.T6,PANEL_PX.T7,PANEL_PX.T8,PANEL_PX.T9,PANEL_PY.T1,PANEL_PY.T2,PANEL_PY.T3,PANEL_PY.T4,PANEL_PY.T5,PANEL_PY.T6,PANEL_PY.T7,PANEL_PY.T8,PANEL_PY.T9,PANEL_PZ.T1,PANEL_PZ.T2,PANEL_PZ.T3,PANEL_PZ.T4,PANEL_PZ.T5,PANEL_PZ.T6,PANEL_PZ.T7,PANEL_PZ.T8,PANEL_PZ.T9,SPACE.T1,CHAMBER.Q1,CHAMBER.Q2,CHAMBER.Q3,CHAMBER.Q4,CHAMBER.Q5,CHAMBER.Q6,CHAMBER.Q7,CHAMBER.Q8,CHAMBER.Q9,CHAMBER.Q100,CHAMBER.Q101,CHAMBER.Q102,CHAMBER.Q103,CHAMBER.Q104,CHAMBER.Q105,CHAMBER.Q200,CHAMBER.Q201,CHAMBER.Q202,CHAMBER.Q203,CHAMBER.Q204,CHAMBER.Q205,PANEL_MX.Q1,PANEL_MX.Q2,PANEL_MX.Q3,PANEL_MX.Q4,PANEL_MX.Q5,PANEL_MX.Q6,PANEL_MX.Q7,PANEL_MX.Q8,PANEL_MX.Q9,PANEL_MY.Q1,PANEL_MY.Q2,PANEL_MY.Q3,PANEL_MY.Q4,PANEL_MY.Q5,PANEL_MY.Q6,PANEL_MY.Q7,PANEL_MY.Q8,PANEL_MY.Q9,PANEL_MZ.Q1,PANEL_MZ.Q2,PANEL_MZ.Q3,PANEL_MZ.Q4,PANEL_MZ.Q5,PANEL_MZ.Q6,PANEL_MZ.Q7,PANEL_MZ.Q8,PANEL_MZ.Q9,PANEL_PX.Q1,PANEL_PX.Q2,PANEL_PX.Q3,PANEL_PX.Q4,PANEL_PX.Q5,PANEL_PX.Q6,PANEL_PX.Q7,PANEL_PX.Q8,PANEL_PX.Q9,PANEL_PY.Q1,PANEL_PY.Q2,PANEL_PY.Q3,PANEL_PY.Q4,PANEL_PY.Q5,PANEL_PY.Q6,PANEL_PY.Q7,PANEL_PY.Q8,PANEL_PY.Q9,PANEL_PZ.Q1,PANEL_PZ.Q2,PANEL_PZ.Q3,PANEL_PZ.Q4,PANEL_PZ.Q5,PANEL_PZ.Q6,PANEL_PZ.Q7,PANEL_PZ.Q8,PANEL_PZ.Q9,SPACE.Q1
orbit.Case Set 2,0.0,0.0,0.0,1.0,0.0,-1.066924326664775e-13,-0.9999999999999998,1.0783927585914141,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.259078879077246,1.2693667175333778,1.2671814850473615,1.2666632381993999,1.263250078452948,1.268857056477923,1.2627764529926757,1.264317448413525,1.2652785381371654,0.16431847792855578,0.163256021539326,0.16440936167923786,0.15775348710004955,0.15904881833137655,0.15279830913319542,0.1615399440610871,0.14947229300619425,0.1534029700161414,0.5314318762926673,0.5169032346080882,0.5235230610792251,0.5172359569490974,0.500523227171805,0.5075342316359288,0.5096843000010677,0.5047888724719932,0.5274877808399867,0.15205408766317272,0.1562360211512914,0.14712528476695186,0.15033134106707785,0.1548215020754254,0.15398355446520795,0.14797209295941277,0.15158305118699328,0.15268161173308786,0.16201202291217187,0.15821772379339677,0.16270809920679488,0.15338885841138417,0.15052225762290322,0.15803364855416563,0.1595429790493154,0.15751279190043813,0.16201409015739449,2.4598264422265532,2.4640658483623725,2.4685362489021827,2.4610916271586634,2.4608616386525592,2.4498236638178876,2.4664906534190956,2.4430340156066355,2.4369329603255103,-32.53169279103391
orbit.Case Set 2,120.0,0.0,0.0,1.0,0.0,0.12682804266635836,-0.9660165283899156,1.078392758591414,20.000000000000057,20.000000000000057,20.000000000000057,19.99999999999943,19.99999999999943,19.99999999999943,20.000000000000057,20.000000000000057,20.000000000000057,19.99999999999949,19.99999999999949,19.99999999999949,20.0,20.0,20.0,19.99999999999949,19.99999999999949,19.99999999999949,20.0,20.0,20.0,20.498079635816396,21.381556211287716,20.50242501309242,21.174095799139593,22.970082472823094,21.153869840159416,23.716957335978407,25.553278647791785,23.695565848745616,20.501946351520644,19.142126294955858,18.613657176361926,21.153113093886247,19.239138342804836,18.713316357312863,23.695088500338727,23.3296129289173,21.822491565224766,20.50210300972816,19.142373968328286,18.61381995337291,21.381074170175168,19.8791507075926,18.961628253086644,20.497752156202182,19.19151923761541,18.66072841228373,18.61369940364193,18.961406510246377,18.66059901345585,18.713362635070325,19.028517767393737,18.77197647432172,21.82251788286976,23.186261649493304,21.88936011069393,18.660594395655664,19.191324426886013,20.497630632669086,18.77197080512957,19.341847261067016,21.173379400647264,21.88935021127412,23.406130604017505,23.71649706271421,21.823446282682937,23.18771081994521,21.89027954956589,23.331078155562977,26.622766672037073,23.407555404474465,23.696034051626043,25.55399573143785,23.7174127585115,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2590872045399781,1.2646366898204378,1.2637983062321125,1.262347899956651,1.261947613873327,1.2652187853917378,1.2606034420161865,1.262310747994456,1.263226584957984,0.13529612817929665,0.13329084392528237,0.1366465101553906,0.13099874032132588,0.13018314692982583,0.12667583714928599,0.1336597609287464,0.12330187602935261,0.12704074654276548,0.5021804135036514,0.4925085561072233,0.4977832701117042,0.4914685663466696,0.4796641114444328,0.4839056753518839,0.48752675875186063,0.48226688574181314,0.5008212950327334,0.14922501413853392,0.15217167025846456,0.14646952977085642,0.14794099601141686,0.15149847556622295,0.15126336087634423,0.14766464904147583,0.1499400338939172,0.14967344001754304,0.1953220775229111,0.18862961694239078,0.19248623439271995,0.18480293067760106,0.1817386752381095,0.18932739638577462,0.1902390538429619,0.1859152555199136,0.19228453702778509,2.4590577311251947,2.4643382303867885,2.4692390529821364,2.460486070640092,2.461182020528366,2.4509969581693056,2.4656781049310323,2.4433879981682747,2.437949464062852,-33.06247206413259
orbit.Case Set 2,240.0,0.0,0.0,1.0,0.0,0.2536560853328234,-0.9320330567798315,1.0783927585914141,20.000000000000227,20.000000000000227,20.000000000000227,19.999999999999602,19.999999999999602,19.999999999999602,20.000000000000227,20.000000000000227,20.000000000000227,19.99999999999949,19.99999999999949,19.99999999999949,20.000000000000057,20.000000000000057,20.000000000000057,19.99999999999949,19.99999999999949,19.99999999999949,20.000000000000057,20.000000000000057,20.000000000000057,21.306941245991595,22.334971887334916,21.189777447855988,22.538967288547042,24.53416355715109,22.388480860262405,26.066760533947786,28.130175513582685,25.938874301330202,21.18928333627923,19.330612100263636,18.394254154642624,22.387705966452245,19.918144425412322,19.004715119783157,25.938384672497136,25.183264416660677,23.187760479986594,21.189444046137794,19.330874671758238,18.394420867175256,22.334487294608437,20.378824421413867,18.9861677578304,21.306604320625183,19.53525708634953,18.573217201047214,18.394311578659483,18.985953100647635,18.573097588919097,19.004783413651126,19.579738870918845,19.212756360940602,23.18779998095266,24.87430543014125,23.380064072991615,18.57310328722906,19.535085421368308,21.306500085591097,19.212766879931394,20.24515976486117,22.538268452339253,23.380066035613993,25.399511728261814,26.066310216302156,23.188736631993834,24.87576373275209,23.380993487635294,25.184760395927412,28.893786960824514,25.400931944534193,25.93934934599514,28.130902661209518,26.06722570271876,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2590955801506594,1.259878171055806,1.2603947490325584,1.2580065685205422,1.2606373039727232,1.2615585993875273,1.258417342032229,1.2602919603300602,1.2611622719560605,0.10609896396443422,0.10314517277585773,0.10871643068154281,0.10408283785393871,0.10114360480574781,0.10039601794781634,0.10561164310616487,0.09697382304102503,0.10051973172243006,0.4727527561997268,0.46796693765413067,0.47188843698386196,0.4655459673390963,0.4586793520252044,0.460134793809014,0.46523575281884855,0.4596092391112949,0.47399418517173575,0.1463788998511507,0.1480828379802402,0.14580982487200678,0.1455362528488788,0.14815543299669423,0.1485267823568087,0.1473553532526642,0.1482871199800455,0.1466471487515332,0.22883277334452062,0.21922469439226874,0.22244373647464638,0.21640622381335778,0.21314312316135764,0.22080964031956596,0.22112002468939304,0.21448879975630514,0.22273731620548157,2.4582843897364355,2.464612253088767,2.4699460903623134,2.4598768665864275,2.4615043322060974,2.452177319792217,2.4648606621035736,2.4437441129236497,2.43897209065238,-33.558254610529964
orbit.Case Set 2,360.0,0.0,0.0,1.0,0.0,0.38048412799928855,-0.8980495851697474,1.078392758591414,20.00000000000017,20.00000000000017,20.00000000000017,19.99999999999949,19.99999999999949,19.99999999999949,20.00000000000017,20.00000000000017,20.00000000000017,19.999999999999375,19.999999999999375,19.999999999999375,20.000000000000284,20.000000000000284,20.000000000000284,19.999999999999375,19.999999999999375,19.999999999999375,20.000000000000284,20.000000000000284,20.000000000000284,22.22297379552043,23.198318801085122,21.935572500612807,23.769586602860386,25.687429391759224,23.441629611299106,27.669327722940295,29.655961482269333,27.397058462594032,21.935066645278255,19.876974455376114,18.743372448782225,23.440841513378075,20.755849160956075,19.69540368386862,27.396558722778934,26.42926836481604,24.27812314056365,21.93522747435162,19.877243490587375,18.74353968561212,23.197826438910568,21.08586223168652,19.48655907132678,22.222627163315508,20.279736241307262,19.08984049156851,18.743442088911593,19.486356077601272,19.08973228555982,19.695489553184018,20.41979266883436,20.0901853383466,24.278173772948605,26.07025124024682,24.620868964544684,19.089751046787967,20.27959545248092,22.22254424978894,20.090215737594406,21.348081019012568,23.76891164484215,24.620884464305675,26.81696152901094,27.668890676520732,24.27911194200641,26.071707742472597,24.621801459838082,26.43078011065859,30.209680829523165,26.81836329782584,27.397535393259773,29.65668993827194,27.669796651617617,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2591041963731326,1.2549829511274064,1.2568934155599365,1.2535405207411818,1.2592893519197674,1.2577932647622585,1.256168440486126,1.2582151775968682,1.2590386560484008,0.07606303320806879,0.07213348668932429,0.07998398506036015,0.07639370418307356,0.07126982425580772,0.07336124073396136,0.07675776816934483,0.06988942639592938,0.07323682990120986,0.44247971082455995,0.44272029564870596,0.44524970559707916,0.4388786724235114,0.43709174933144385,0.4356810301905608,0.4423043781905938,0.4363006910520276,0.44639639491208566,0.14345102332754545,0.14387654307161948,0.14513116818755392,0.1430624270147908,0.14471635259850837,0.1457115883086043,0.14703717211604359,0.14658672169828324,0.1435339191842523,0.2633061534265195,0.2506986971758128,0.2532618478345292,0.2489174059717782,0.2454497477473306,0.2531962958143149,0.25288813392106263,0.24388319538433426,0.25406493281882975,2.4574888320503234,2.464894147824904,2.4706734392800667,2.4592501615188493,2.461835903147819,2.4533915904560506,2.4640197360471197,2.444110458026724,2.4400240949226113,-34.014743072997575
orbit.Case Set 2,480.0,0.0,0.0,1.0,0.0,0.5053528804409201,-0.8606725233434777,1.0783927585914141,20.0,20.0,20.0,19.999999999999545,19.999999999999545,19.999999999999545,20.0,20.0,20.0,19.99999999999943,19.99999999999943,19.99999999999943,20.000000000000284,20.000000000000284,20.000000000000284,19.99999999999943,19.99999999999943,19.99999999999943,20.000000000000284,20.000000000000284,20.000000000000284,23.13896922093585,24.008737622971694,22.663439330393146,24.85414871207871,26.651930285518688,24.330959927004074,28.88735459806861,30.758872920002375,28.454671360407815,22.66292314114054,20.519831904798025,19.31411632719511,24.330158994749183,21.54794794009132,20.45548192258667,28.45416199831203,27.389503098512023,25.198097542680046,22.66308284097738,20.520103984583784,19.314283089799176,24.008234131245842,21.837267253524885,20.163085475304626,23.13861298308575,21.136163247661216,19.842151379584436,19.314196944588048,20.162895592427162,19.842054709888487,20.45558336932254,21.287384802413612,21.049967591467237,25.19815851478046,27.058512784636605,25.7010896109025,19.842086983041895,21.13605533931019,23.138552142320236,21.050018729280907,22.41872727592147,24.853497522208784,25.70111865764767,27.961729448855124,28.886931083426646,25.19909660714228,27.05996746796501,25.702023540173684,27.39102839462936,31.217136317187283,27.96311190754085,28.45514903501254,30.75960174402178,28.887825629409406,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2589341532215577,1.2501261539943023,1.2533724402372108,1.2491124957861721,1.2577741849815336,1.2539981111260685,1.2538534687971952,1.2560605304013328,1.256852869752496,0.046859775594033884,0.04199685944974248,0.05200833907141174,0.04943228104496172,0.04222900263912192,0.04704746124037798,0.04868267560370383,0.043527880337918386,0.04668910558772288,0.41221672819474364,0.41722448671408296,0.41839423562171774,0.4120076911583972,0.41509966289532785,0.41099753192610833,0.4190827120595255,0.4127465394668918,0.41869588971567717,0.1404770668154116,0.13969801427055578,0.14430175038643542,0.1405353914137701,0.14126236850043422,0.1428427471049479,0.14655534899179226,0.14481180530302132,0.14040455679401762,0.29680918428865827,0.2813726115202592,0.28332052331496105,0.2806257140409312,0.27697077033851447,0.2847690466324863,0.2838804888180267,0.2725982035075437,0.2846212366593436,2.4569497870180297,2.4654063252328475,2.471649138856483,2.4588768721352796,2.4623847470624662,2.4548060099463385,2.463437170671772,2.4446829477808256,2.441296072543204,-34.43444266470699
orbit.Case Set 2,600.0000000000001,0.0,0.0,1.0,0.0,0.5981974514972943,-0.7678279522871256,1.0783927585914141,20.000000000000227,20.000000000000227,20.000000000000227,19.999999999999602,19.999999999999602,19.999999999999602,20.000000000000227,20.000000000000227,20.000000000000227,19.999999999999375,19.999999999999375,19.999999999999375,20.00000000000017,20.00000000000017,20.00000000000017,19.999999999999375,19.999999999999375,19.999999999999375,20.00000000000017,20.00000000000017,20.00000000000017,23.961094727777436,24.724342405686286,23.33718858415216,25.79381742813041,27.476971868457156,25.112549989411377,29.88437323448869,31.659183255282755,29.318202562317254,23.336670640281056,21.149715492773055,19.928381002448134,25.111747466042857,22.30286904898344,21.201811845508416,29.317691583685075,28.221309746079726,26.018174475434364,23.336816077403853,21.14996412757739,19.928532421258012,24.72381401512689,22.49886500873515,20.83966862300406,23.960722850586194,21.935141650464345,20.605310920373427,19.928464586709026,20.83950458924494,20.60523010513981,21.20191667653262,22.10312871518738,21.95504040036758,26.01823675218867,27.930532411983847,26.65717634206095,20.605270112734843,21.93507057491985,23.9606873036725,21.95510527387904,23.375998201371658,25.793180505999544,26.657213989909906,28.94197745494239,29.883958926964908,26.01918080490799,27.931993858635508,26.65811621503792,28.222844975570297,32.09117246351883,28.943353475948243,29.318685901394588,31.659920268126427,29.88485097366714,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2515083612124038,1.2443187907794115,1.2472565932852422,1.2439378781064678,1.2487722238239252,1.2470590466813114,1.247699599204097,1.2496760219217642,1.251050949171065,0.03608105990193667,0.031506496829472,0.040042842834040804,0.03783428455183431,0.031707542957627184,0.036160099079813914,0.03744873334826616,0.03264258455514249,0.03601669821540633,0.3668282445001244,0.3686481428966178,0.3690616774957838,0.3631753676017164,0.36559305429557754,0.36443002778979394,0.37229739892034885,0.36725117935826296,0.37265973369013217,0.13412813941356944,0.1344893816922069,0.13699761382107284,0.1345766457643871,0.13543800146617055,0.13634925079920107,0.13926034365539797,0.139136152281807,0.13502207194420357,0.30856998759498766,0.29568406405742503,0.29833216610206176,0.2963905819888286,0.293145270456715,0.29988620795398824,0.2996501642904219,0.28878852926211124,0.29990931657848385,2.466426395886658,2.475421138184939,2.4830902836436595,2.4684800309218318,2.471933043200029,2.464976960486415,2.4729220768808613,2.453820512950665,2.452046923231528,-34.814242670154954
orbit.Case Set 2,720.0000000000001,0.0,0.0,1.0,0.0,0.6910420225536684,-0.6749833812307737,1.0783927585914141,20.000000000000284,20.000000000000284,20.000000000000284,19.999999999999773,19.999999999999773,19.999999999999773,20.000000000000284,20.000000000000284,20.000000000000284,19.999999999999375,19.999999999999375,19.999999999999375,20.00000000000034,20.00000000000034,20.00000000000034,19.999999999999375,19.999999999999375,19.999999999999375,20.00000000000034,20.00000000000034,20.00000000000034,24.661434736083038,25.332254837262724,23.93513549363348,26.602027594081676,28.18716305568364,25.804078266695,30.732056343196916,32.43158273161663,30.066017681937183,23.934616005546104,21.717855891446902,20.504494519983098,25.803274347363242,22.99593291212102,21.89409538825106,30.065505156690676,28.966292535845753,26.759390927745415,23.93474704175111,21.718080283550023,20.504630498359802,25.33170071726289,23.0516474283678,21.44589536754063,24.661047120666694,22.625206966880626,21.290192464996153,20.50458077383587,21.445757558847106,21.290127562304235,21.89420309369126,22.836999868078465,22.763914929831117,26.759454356411084,28.70892992336121,27.50375540855748,21.290175279616278,22.625173277655335,24.66103692584329,22.763993663421445,24.213970607506724,26.601404702064485,27.503801686248607,29.79769519646709,30.731651243275564,26.76040435827241,28.71039865163283,27.504701203683396,28.96783783509011,32.867324039289144,29.799065119844556,30.066506639242277,32.432328139276365,30.732540627018693,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.244100056909016,1.238525103877977,1.2411551491245008,1.2387754466274168,1.2397914622431223,1.2401363237011616,1.2415602219453696,1.243306548930075,1.2452626920857135,0.025327728035339146,0.021040838964553468,0.028105525284853404,0.026263601286695967,0.021210861264919455,0.02529837660667924,0.026241246974775038,0.02178292359348588,0.025369424312989084,0.3215466504742478,0.3201861961437101,0.31984529731559896,0.3144580439406927,0.31620303352963547,0.3179721899098981,0.3256222649767831,0.32186296061183645,0.3267319925986675,0.12779416370633373,0.12929301541944,0.12971067846346984,0.12863193293339187,0.1296273507892789,0.12987104664715943,0.1319825180227613,0.1334738653971532,0.12965226282126507,0.32030309426403747,0.3099618131901939,0.3133084565399721,0.31211832374577286,0.3092816797020997,0.3149677684306403,0.315382702250166,0.3049407268745627,0.315161393140269,2.475880687385321,2.4854123662989434,2.494504484587887,2.4780605743139485,2.4814588531444404,2.4751239584851072,2.482384646179787,2.4629365591968786,2.462772455716306,-35.15166399837013
orbit.Case Set 2,840.0000000000002,0.0,0.0,1.0,0.0,0.7838865936100428,-0.5821388101744218,1.0783927585914141,20.00000000000034,20.00000000000034,20.00000000000034,19.999999999999716,19.999999999999716,19.999999999999716,20.00000000000034,20.00000000000034,20.00000000000034,19.999999999999375,19.999999999999375,19.999999999999375,20.00000000000034,20.00000000000034,20.00000000000034,19.999999999999375,19.999999999999375,19.999999999999375,20.00000000000034,20.00000000000034,20.00000000000034,25.258672474700802,25.846060198018392,24.44999280170896,27.304129281182156,28.801273499657896,26.406407093572682,31.468067470108508,33.10297056096465,30.717343061896543,24.449471816062044,22.208458038484707,21.01313181417987,26.405601660480215,23.605906576422683,22.510146729426424,30.71682897607053,29.62396866989468,27.41832191352296,24.449588420863392,22.208658100374976,21.01325233784752,25.84548005400535,23.51388287444911,21.971716857678928,25.258269074625048,23.218691137165933,21.888915918893474,21.0132205922759,21.971605252810264,21.888866915719916,22.510257167480347,23.484057028994243,23.47969314346136,27.418386438648838,29.398399381296542,28.253374213799532,21.888922334313122,23.218694941637807,25.25828422272815,23.479785839181773,24.95205902649309,27.303520279339352,28.253429137905357,30.551213353926414,31.46767154299556,27.419342450761178,29.39987570488512,28.254325992293616,29.62552427972696,33.552281175841244,30.552577356284132,30.717837652554408,33.10372445660488,31.468558274658164,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2366808226433657,1.2327228691663286,1.2350447030988667,1.2336053986711077,1.2307974507496346,1.2332033871690538,1.2354117868565364,1.2369276786327976,1.2394658952011157,0.014558531065651656,0.010559740421062835,0.01615059582003977,0.014675847025786264,0.010698693122130648,0.014420629114610096,0.01501722545395464,0.010907240654379296,0.014706441781824536,0.2761982495120457,0.27165275026934743,0.27055630494833016,0.2656688443837385,0.26674014439314675,0.2714458097031733,0.278878268115106,0.27640777761856855,0.28073649126729344,0.12145084306500586,0.12408898260316517,0.12241299220725305,0.12267844947362094,0.12380812727439132,0.12338328477124343,0.1246939549316918,0.12780322456543775,0.12427453126308831,0.33205351156286966,0.32426062723239674,0.32830684249159386,0.32786926968235575,0.32544189606134977,0.3300715797328678,0.3311384514657046,0.32111675489450364,0.33043597210130954,2.4853489274267364,2.495418335133869,2.5059355256591487,2.4876552525166025,2.490998717147506,2.485285927022355,2.491861176234252,2.4720660549502087,2.4735138122899047,-35.44835863624091
orbit.Case Set 2,960.0000000000002,0.0,0.0,1.0,0.0,0.8699439842340463,-0.48537565866840104,1.0783927585914141,20.00000000000017,20.00000000000017,20.00000000000017,19.99999999999966,19.99999999999966,19.99999999999966,20.00000000000017,20.00000000000017,20.00000000000017,19.999999999999545,19.999999999999545,19.999999999999545,20.000000000000398,20.000000000000398,20.000000000000398,19.999999999999545,19.999999999999545,19.999999999999545,20.000000000000398,20.000000000000398,20.000000000000398,25.764060558233666,26.273356270633883,24.8820504160895,27.913356797927406,29.328617948455815,26.92378315419802,32.110540738051554,33.68674583436223,31.28237299220092,24.881528526389957,22.6181342017137,21.444507731625322,26.922977055301658,24.131987364547797,23.044859493160516,31.281858056290616,30.198300152704064,27.995501464030895,24.88163059067631,22.618310096174923,21.444612969676314,26.272751279308522,23.89116667846457,22.414969283211065,25.763641915510448,23.722547843931522,22.401498692263488,21.444598258431313,22.414882757890723,22.401464964435945,23.044971566824643,24.045389462131368,24.106278791148952,27.995566517189275,30.00342524871229,28.913930758408014,22.401526638845496,23.722586205544133,25.76368030897578,24.10638341889944,25.598337607868473,27.912759298965057,28.91399278511409,31.214323454626083,32.110152435352745,27.996528776478783,30.004909772575274,28.91488874772267,30.199865678775552,34.15325038812239,31.21568445449242,31.282873579219938,33.68750874999455,32.1110382938661,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2291238391372254,1.2267135439169432,1.2288119694901543,1.228170475387521,1.2220151492412858,1.226179945276289,1.229068934310444,1.230361810939332,1.2333729410230845,0.004623684572655927,0.0009321868890484504,0.005139470240841009,0.004013565360503698,0.0010403484607860308,0.004407669087610178,0.0046777018292198025,0.0009182831332925061,0.004884755855074113,0.23154973174554383,0.22417253448368346,0.2225194886382702,0.21811266993166062,0.21855232760166443,0.22581042899829135,0.2329267028555829,0.23170874894898474,0.23569673728383467,0.11493459251667862,0.11860283833510558,0.11509644700716416,0.11648916062560236,0.11769394497431394,0.11669264257534537,0.11738407474143916,0.12189801800075226,0.11870137186392352,0.3414537319786186,0.3361494028908438,0.3407495316346619,0.3411893362661834,0.33874922872701835,0.3424923521814569,0.34419263138376366,0.3345896930365816,0.3430930361510246,2.495035601169638,2.5055654637831735,2.51735935552445,2.497492463823039,2.500892617398197,2.4956662857414598,2.5015598721571557,2.481487541378574,2.4843694201714666,-35.70592313246211
orbit.Case Set 2,1080.0000000000005,0.0,0.0,1.0,0.0,0.903927455844161,-0.3585476160019439,1.0783927585914141,20.000000000000227,20.000000000000227,20.000000000000227,19.999999999999716,19.999999999999716,19.999999999999716,20.000000000000227,20.000000000000227,20.000000000000227,19.99999999999943,19.99999999999943,19.99999999999943,20.00000000000034,20.00000000000034,20.00000000000034,19.99999999999943,19.99999999999943,19.99999999999943,20.00000000000034,20.00000000000034,20.00000000000034,26.15931841240308,26.632069600286968,25.250734894875222,28.38786490584016,29.777198357448754,27.374218570993605,32.63470795324298,34.189245884877096,31.77691608570433,25.25021595881492,22.9777521008819,21.819888971545822,27.373417974809513,24.600643479763335,23.509752368076704,31.776405146405466,30.710658942937016,28.504799942768045,25.250303041050927,22.97790540981549,21.819980230891247,26.63144892007358,24.21702379126981,22.78447551448795,26.15888846439725,24.11176421362933,22.81002744254812,21.819976526499374,22.784406136308007,22.810004912970612,23.50985902955489,24.51284756120043,24.601750454989883,28.504861976983875,30.523672309338792,29.454331663471123,22.810063034865266,24.111816225184953,26.158935881565583,24.60185236096777,26.07737873336663,28.387262564982848,29.45439023564063,31.751162481871518,32.63431701126433,28.505831809267306,30.52516822489963,29.455296936699312,30.712231056523763,34.680921001272,31.75254016174557,31.777425101774327,34.19002123289954,32.63521382208802,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2199534966524306,1.2183366342220754,1.2211521200480506,1.2197317007147745,1.215491709890047,1.2180742024762707,1.2204957940516021,1.2216457422999056,1.22392120353117,0.003858090398961474,0.0006906269115300985,0.004502912790218263,0.0035258097326453675,0.0007707602979925677,0.0039015313736336203,0.004060617797554151,0.0006803260716350015,0.0043107778552068056,0.19419969197242318,0.18788885786755613,0.1878851796914481,0.18375127368587985,0.18401995763276155,0.18958778337591364,0.1952885179438394,0.194933305348424,0.2007960672202173,0.10642508818712296,0.10992064750354821,0.10749103351711017,0.10761107196026351,0.1082340752988857,0.10767385385781013,0.10975806725441473,0.11332086930566296,0.11089502082503457,0.3248248895984718,0.3213706972675655,0.3249112228052283,0.3276256903606715,0.3204806318385751,0.32521602969536934,0.32735053969042316,0.3181539849610748,0.3267840942328768,2.5072557774449944,2.517391904178597,2.528826642740721,2.5101327574442136,2.5148299675282213,2.5085871705933744,2.513833697034171,2.494257507714311,2.496612823629227,-35.922493381304584
